step 0,step 1,step 2,step 3,step 4,step 5,step 6,step 7,step 8,step 9,step 10
WW2,French West Africa in World War II,Commando Kieffer,Direction générale de la sécurité extérieure,SIGINT,Market intelligence,Clandestine human intelligence,Surveillance,Electro-optical MASINT,Infrared,Super high frequency
WW2,Italian Ethiopia,Southern Military Territory,Tripoli Cathedral,Battle of Tripoli (1825),Royal Sardinian Navy,Armistice,Armistice with Germany (Compiègne),Joseph E. Persico,Gerald B. H. Solomon Saratoga National Cemetery,Gerald B. H. Solomon
WW2,Scout plane,Edo OSE,Curtiss Aeroplane and Motor Company,Curtiss Model D,Curtiss XP-31 Swift,General Dynamics–Grumman F-111B,Convair XC-99,National Museum of the United States Air Force,Thunderbirds Museum,List of United States Air Force missile maintenance squadrons
WW2,Kuban,Russian language,World Bank,Energy Sector Management Assistance Program,Robert McNamara,W. O. Bentley,Footplate,Category:Use dmy dates from January 2020,Category:Use dmy dates from January 2013,Category:Use dmy dates from May 2016
WW2,Balkan Campaign (World War II),Danish resistance movement,Black Band (resistance group),Political spectrum,Communitarianism,Origen,Philokalia (Origen),Pontus (region),Ancient Greece and wine,Sciritae
WW2,Occupation of the Baltic states,1988 Black Sea bumping incident,Illiberal democracy,Populism,Joseph Estrada,Asenso Manileño,2007 Manila local elections,,,
WW2,Battle of the Bulge,Red Army,Ground warfare,Conscientious objector,Ekaterinoslav,Cambridge University Press,University of Cambridge Graduate Union,MRC Mitochondrial Biology Unit,Help:Authority control,Help:Disambiguation
WW2,Polish Cipher Bureau,World War II,Siege of Warsaw (1939),Motorised infantry,Syria,Ibrium,Irkab-Damu,Ancient Egypt,Afterlife,Hebrew Bible
WW2,Hamish Hamilton,Film+,Del Rey Books,Threshold Editions,Nicktoons (Dutch TV channel),List of ViacomCBS television programs,Yakkity Yak,Ned's Newt,Alienators: Evolution Continues,Spider
WW2,Second United Front,Battle of Nanpéng Island,Pingjin Campaign,Wanshan Archipelago Campaign,Chinese Civil War,Thao language,Baybayanon language,Molbog language,Batek language,Language family
WW2,New Roman Empire,England,Department for Education,Department for Education and Employment,Referendums in the United Kingdom,Radical Independence Campaign,RISE – Scotland's Left Alliance,Socialist Workers Party (UK),Cuba,Template talk:World Heritage Sites in Cuba
WW2,World War I,Ethnic and religious composition of Austria-Hungary,Moravia,Ottokar I of Bohemia,Margrave of Moravia,Ida of Babenberg,,,,
WW2,Army Group Centre,9th Army (Wehrmacht),Bobruysk Offensive,35th Guards Rifle Corps (Soviet Union),,,,,,
WW2,Alfred E. Senn,Open access,Academic institution,Public library,Young adult literature,GND (identifier),WorldCat Identities (identifier),ISSN (identifier),Film speed,MPEG-4 Part 2
WW2,Anne Applebaum,SUDOC (identifier),Library science,Copyright,Copyright law of the Russian Federation,Copyright law of El Salvador,El Salvador,Jaime Abdul Gutiérrez,1979 Salvadoran coup d'état,2002 Venezuelan coup d'état attempt
WW2,Gabriel Kolko,"Alfred D. Chandler, Jr.",Template:PulitzerPrize HistoryAuthors 2001–2025,T. J. Stiles,Template:PulitzerPrize BiographyorAutobiographyAuthors 1976–2000,Sebastian de Grazia,Leonard Baker,WorldCat Identities (identifier),User-generated content,WhatsApp
WW2,Polish areas annexed by Nazi Germany,Reichsgau Steiermark,Gau Mecklenburg,Gau Magdeburg-Anhalt,Category:Wikipedia articles with GND identifiers,Wikipedia:Categorization,Tag (metadata),Explicit knowledge,Data storage device,Memory segmentation
WW2,Yale University Press,MacMillan Center for International and Area Studies,Random House,Atria Publishing Group,Paramount+,BET Jams,Digital cable,Video-on-demand,Cable television,IFC Films
WW2,Left-wing politics,Republican Party (United States),Major party,Help:Maintenance template removal,Wikipedia:STUB,Wikipedia:Manual of Style/Infoboxes,Wikipedia:Subpages,Wikipedia:Deletion process,Wikipedia:NOT,Wikipedia:Manual of Style/Lead section
WW2,False flag,Military camouflage,French army,241st Light Infantry Division (France),,,,,,
WW2,Puerto Ricans in World War II,Military history of Australia during World War II,Morocco in World War II,Pacific Islands home front during World War II,Battle of the Java Sea,Anglo-Soviet invasion of Iran,Battle of Iwo Jima,Axis powers,Arms industry in Romania,M1938 mortar
WW2,Operation Paperclip,Full-spectrum dominance,Cold-weather warfare,Humvee,LARC-V,Family of Medium Tactical Vehicles,Ambulance,Lifeboat (rescue),Wikipedia:Citing sources,EBSCOhost
WW2,Battle of the Mediterranean,Taranto,Piacenza,Etruscan mythology,Cel (goddess),Laran,Etruscan religion,Janus,Janus Society,Black Cat Bar
WW2,Soviet occupation of Bessarabia and northern Bukovina,Manchukuo,Collective farming,Four Pests Campaign,Ornithologist,Gastornithiformes,Paraphyletic,Bilateria,Tubulinea,Halvaria
WW2,Category:Wikipedia articles with GND identifiers,Help:Category,Albert Einstein,Kurt Gödel,Hassler Whitney,Anne Anastasi,William Brownell (psychologist),"University of California, Berkeley Graduate School of Education",Heuristic Squelch,Rolling Stone
WW2,Operation Himmler,Walter Schellenberg,Category:Wikipedia articles with NDL identifiers,Wikipedia:Maintenance,Wikipedia:Arbitration Committee/Clerks,User:Ks0stm,K-284 (Kansas highway),"Beloit, Kansas",Atlanta Falcons,Atlanta Reign
WW2,Military reserve force,Royal Auxiliary Air Force,RAF Waddington,36th Air Division,Western Air Defense Force,4732d Air Defense Group,Condon Air Force Station,503d Aircraft Control and Warning Group,North American F-82 Twin Mustang,Northrop F-89 Scorpion
WW2,Treaty of London (1915),Spalato (city),Srinjine,Template talk:SplitDalmatia-geo-stub,Wikipedia:WikiProject Stub sorting,Wikipedia:Article creation,Wikipedia:Contributor copyright investigations,Wikipedia:Contributor copyright investigations/Lactasamir,User talk:Money emoji,User talk:Moneytrees/Archive A
WW2,Boeing,Inmarsat,UK telephone code misconceptions,Non-geographic telephone numbers in the United Kingdom,Central Office of Information,Help:Authority control,Wikipedia:Citing Wikipedia,Wikipedia:Editor assistance/Requests,Wikipedia:Editor assistance/Requests/Archive 108,Talk:Kye Palmer
WW2,Soviet Union,People's Committee of North Korea,Cold War,Contras,Rebellion,Pueblo clown,Template:Clowns,List of clowns,Gamzee Makara,Toby Fox
